original_id,label,sector,trait,subject_ar,body_ar
0,Safe Email,Government,Extraversion,متابعة للنقاش: تأملات حول استخدام صيغ النداء في اللغة,"السادة الزملاء الكرام،

تحية طيبة وبعد،

بالإشارة إلى النقاش الدائر وملاحظات الأستاذ هادسن القيمة حول استخدام صيغة النداء ""يا بني"" (son) في بعض السياقات اللغوية، على عكس عدم شيوع استخدام ""يا ابنتي"" (daughter) بنفس الطريقة، أجدها ملاحظات جديرة بالتأمل.

ولكني لست على يقين تام من أن تفسير هذه الظاهرة يعود إلى ""معاملة الأبناء الذكور معاملة كبار الأقارب"". فهناك نقطتان تستدعيان النظر:

أولاً، نحن لا نستخدم عادةً ""يا أخي"" (brother) بنفس الطريقة، تمامًا مثلما هو الحال مع ""يا ابنتي""، ومن الصعب وضع تصنيف لغوي منطقي يجمع ""كبار الأقارب"" و""الابن"" مع استثناء ""الأخ"".

ثانيًا، يبدو لي أن هناك فروقًا في سياقات الاستخدام. فصيغ النداء المستخدمة مع كبار الأقارب يمكن استخدامها في مواقف متنوعة، مثل لفت انتباه شخص من مسافة بعيدة (وبالتالي تأتي في بداية الكلام). في المقابل، تبدو صيغة ""يا بني"" أكثر طبيعية في جمل مثل: ""نعم، يا بني""، أو ""ناولني ذلك، يا بني""، بينما تكون أقل شيوعًا في بداية النداء المباشر مثل: ""يا بني!"" أو ""يا بني، ساعدني!""، وإن كانت هذه الأخيرة ممكنة في بعض الحالات.

مع خالص التقدير،

ألكسندر مراد
باحث أول
مركز البحوث اللغوية - وزارة الثقافة"
1,Safe Email,Government,Extraversion,"استفسار لغوي: الظاهرة المعاكسة لمصطلح ""Galicismo""","الزملاء الأفاضل،

تحية طيبة وبعد،

أود أن أطرح للنقاش مسألة لغوية دقيقة تتعلق بظاهرة الكلمات الدخيلة بين اللغات.

في اللغة الإسبانية، يُستخدم مصطلح ""Galicismo"" للإشارة إلى الإدخال غير السليم لكلمات فرنسية الأصل تبدو في نطقها شبيهة بالإسبانية، مما يجعلها خادعة للسامع. وغالباً ما يُعتبر هذا الاستخدام نوعاً من ""اللحن"" أو العُجمة في الكلام.

السؤال المطروح هو: ما هو المصطلح الذي يصف الظاهرة المعاكسة تماماً؟ أي، ما هو الاسم الذي يُطلق على الكلمات ذات الأصل الإسباني التي تسللت إلى اللغة الفرنسية بشكل غير سليم أو شائع؟

هل يمكن لأحد الزملاء الكرام تزويدنا بأمثلة توضيحية لهذه الظاهرة؟

ولكم جزيل الشكر والتقدير على إثرائكم للنقاش.

مع خالص التحية،

يوسف مراد
باحث لغوي
المجلس الأعلى للغات والثقافة
Y.Murad@sclc.gov.ae"
2,Safe Email,Government,Openness,متابعة بخصوص: سجلات صفقة نجم,"تحية طيبة،

نود الاستفسار عما إذا كنتم لا تزالون متاحين لمساعدتنا في إدخال سجلات صفقة ""نجم"" الجديدة؟

بعد التشاور مع السيد/ برايان هل والسيدة/ أنيتا لونج، قررنا أنا وكايل أننا نحتاج فقط إلى إعداد سجل بيع إضافي واحد وسجل إعادة شراء واحد.

مع خالص التقدير.

---
**الرسالة المعاد توجيهها بواسطة تينا فالاديز / الهيئة العامة للاستثمار بتاريخ 06 / 04 / 2000 12:56 ظهراً**
---
**من:** روبرت لويد بتاريخ 06 / 04 / 2000 12:40 ظهراً
**إلى:** تينا فالاديز / الهيئة العامة للاستثمار
**الموضوع:** بخصوص: سجلات صفقة نجم

قد ترغبون في عرض هذه الفكرة على السيد/ دارين فارمر، حيث إنني لا أقوم عادةً بإضافة سجلات في منظومة ""سِدرة"".

---
**من:** تينا فالاديز بتاريخ 04 / 04 / 2000 10:42 صباحاً
**إلى:** روبرت لويد / الهيئة العامة للاستثمار
**نسخة إلى:** برايان هل / الهيئة العامة للاستثمار
**الموضوع:** سجلات صفقة نجم

لقد اجتمعتُ أنا وكايل مع السيد/ برايان هل هذا الصباح، وقررنا أننا نحتاج فقط إلى إعداد سجل بيع جديد واحد وسجل إعادة شراء جديد.

يجب أن تكون الفترة الزمنية لكلا السجلين من يوليو 1999 فصاعداً.

- يجب أن يكون تسعير سجل البيع الجديد مماثلاً للمستوى الثاني في منظومة ""سِدرة"" رقم #156337.
- ويجب أن يكون تسعير سجل إعادة الشراء مماثلاً للمستوى الثاني في منظومة ""سِدرة"" رقم #156342.

في حال وجود أي استفسارات، يرجى إعلامي.

مع الشكر،
تينا فالاديز
تحويلة - 7548"
3,Phishing Email,Corporate,Conscientiousness,إجراء معلّق: عدم تطابق البیانات المسجلة,"السادة/ القسم المختص،

إشارة إلى المراجعة الدوریـة للسجلات التجارکــیـة، لقد تم رصد عدم تطابق فـی البیانات الأساسیـة المقدمة من قبل منشأتـکـم.

ولتجنب أیـة عواقب قانونیـة قد تصل إلى تعلیق السجل، یـجب تسویـة هذا الأمر بشکل فورى. إن تحدیث بیاناتکم هو إجراء إلزامـی لضمان استمراریة التعاملات الرسمیة.

نرجو منکم الاتصال المباشر بمسؤول تسویـة الحسابات على الأرقام التالیـة لتحدیث معلوماتـکـم وتفعیل سجلکم:

الرقم المباشر لخدمة الشرکات: 800-124-CORP (800-124-2677)
لتسویة المخالفات العاجلة: 920-011-AUDIT (920-011-28348)

مع التقدیر،
مرکز التدقیق الوطنی للسجلات التجاریـة
--
للاطلاع على اللوائح الرسمیـة، یرجى زیارة البوابة الإلکترونیـة
http://www.ncarc-gov.sa/regulations"
4,Phishing Email,Academic,Neuroticism,خـصم ٨٦٪ على البرامـج الأکادیميـة,"إلى كافة الطلاب وأعضاء الهيئة التدريسية،

يسر المرکـز الأکادیمي للبرمجيات أن یقدم لـکم فرصة حصرـية للحصول على حزم البرامج الأساسية بتخفيضات استثنائية.

استفیدوا الآن من خصم یصل إلى ٨٦٪ على تراخيص البرامج المعتمدة للدراسة والبحث العلمی. هذا العرض متاح لفترة محدودة جداً والکميات على وشك النفاذ.

للحصول على قائمة الأسعار وکيفية الشراء، يرجى الرد على هذا البريد الإلكترونى فوراً.

فريق الدعم الأکادیمي"
5,Safe Email,Government,Extraversion,تهانينا على منصبك الجديد,"الأستاذة سالي،

ألف مبروك على منصبك الجديد!

أردت أن أُعلمكِ بأنني انتقلت مؤخراً إلى قسم RAC في هيوستن، ولا شك أن طبيعة مسؤولياتنا الجديدة ستجمعنا في مناسبات عمل قادمة. أتطلع جداً للعمل معكِ.

مع خالص التقدير،
ديفيد بورت

--- رسالة مُعاد توجيهها ---

**من:** ريك كوزي
**تاريخ الإرسال:** 18 يناير 2000
**إلى:** جميع موظفي الهيئة حول العالم
**الموضوع:** إنشاء إدارة عمليات المخاطر العالمية

إلى جميع الزملاء،

في ضوء التوسع العالمي المتزايد لأنشطة ""الهيئة الوطنية لإدارة المخاطر والأصول""، وإدراكاً للحاجة الماسة لضمان وجود ضوابط داخلية محكمة لكافة عمليات إدارة المخاطر لدينا في جميع أنحاء العالم، يسرنا الإعلان عن إنشاء إدارة جديدة تحت مسمى ""إدارة عمليات المخاطر العالمية"". وقد تم تكليف الأستاذة/ سالي دبليو بيك، نائب الرئيس، بتولي قيادة هذه الإدارة.

وفي هذا المنصب، سترفع الأستاذة سالي تقاريرها مباشرةً إلى السيد/ ريك كوزي، نائب الرئيس التنفيذي وكبير المسؤولين الماليين والمحاسبيين. وستعمل الأستاذة سالي بشكل وثيق مع جميع المكاتب الإقليمية والشركات التابعة للهيئة لضمان حصول كل كيان على الدعم الإقليمي المخصص له، مع التركيز في الوقت ذاته على المسؤوليات العالمية التالية:

1.  تعزيز التواصل بين المختصين في عمليات إدارة المخاطر.
2.  ضمان تطبيق ونشر أفضل الممارسات التشغيلية على مستوى العالم.
3.  تسهيل توزيع وتخصيص الموارد البشرية.
4.  توفير التدريب اللازم لموظفي عمليات إدارة المخاطر.
5.  تنسيق متطلبات المستخدمين للأنظمة التشغيلية المشتركة.
6.  الإشراف على وضع خطة تدقيق عالمية للرقابة الداخلية على أنشطة إدارة المخاطر.
7.  وضع الإجراءات اللازمة لافتتاح مكاتب جديدة لعمليات إدارة المخاطر، وتحديد مؤشرات أداء رئيسية لقياس فعالية الضوابط المستمرة للمخاطر.

ستستمر فرق العمليات الإقليمية في تبعيتها الإدارية المباشرة لوحدات أعمالها، مع التعاون والتنسيق مع الأستاذة سالي لإنجاز هذه المهام الحيوية. كما سيتبع فريق عمليات إدارة المخاطر في هيوستن، الذي يعمل حالياً تحت قيادة السيدة/ سو فروسكو ويدعم أنشطة إدارة المخاطر في أمريكا الجنوبية وأستراليا، إدارياً للأستاذة سالي بشكل مباشر.

إلى جانب مهامها الجديدة، ستحتفظ الأستاذة سالي بمنصبها الحالي كنائب رئيس عمليات الطاقة لمنطقة أمريكا الشمالية، وتتبع في هذا الدور لمكتب رئيس الهيئة في المنطقة. وتشغل الأستاذة سالي هذا المنصب منذ عام 1997، حيث تتولى مسؤولية إدارة توحيد المخاطر وإعداد التقارير الخاصة بها، وإدارة عمليات تسليم المنتجات المادية، والمصادقات، وإدارة النقد لقطاعات تداول السلع والمشتقات والمنتجات المالية في الهيئة.

انضمت الأستاذة سالي إلى الهيئة في عام 1992 كمديرة في قسم الائتمان العالمي. وقبل ذلك، عملت لمدة أربع سنوات كمصرفية تجارية، وسبع سنوات كمسؤولة أوراق مالية مسجلة لدى شركة استثمار إقليمية.

نرجو من الجميع الانضمام إلينا في تقديم كل الدعم للأستاذة سالي في دورها التنسيقي الإضافي هذا لقيادة عمليات إدارة المخاطر العالمية."
6,Safe Email,Government,Openness,بخصوص تحديات إدارة الأنظمة التقنية القديمة,"تحية طيبة،

إشارة إلى النقاش الدائر، يتكون لدي انطباع واضح من خلال المتابعة المستمرة أن أداء النظام المركزي قد شهد تراجعاً ملحوظاً منذ أن تم إعفاء المهندس المسؤول السابق عن إدارته. ويبدو أن الفريق الحالي يواجه صعوبات في مواصلة التطوير دون التسبب في مشاكل متكررة تعطل سير العمل.

وهذا يطرح سؤالاً جوهرياً: ما الداعي لإجراء تغيير في إدارة فريق كان يعمل بكفاءة؟ فكما هو معلوم، لا يُصلح ما لم يكن معطوباً.

اسمحوا لي أن أطرح وجهة نظري التحليلية: هذا النظام المركزي يشبه إلى حد كبير ""صندوقاً مغلقاً"" شديد التعقيد. فبنيته القديمة، واضطراره للتوافق مع مئات الأجهزة والبرمجيات المتباينة، تجعل منه مصدراً للمشاكل بطبيعته. إن التعامل مع شفرته المصدرية لأشهر قليلة كفيل بأن يستنزف طاقة أفضل الخبراء، أما قضاء سنوات في محاولة فهمه وصيانته فيؤثر سلباً على نهجهم في العمل ويجعلهم أكثر حدة وانغلاقاً.

المشكلة الحقيقية هي أن إيجاد شخصية تجمع بين الصبر الفائق والمهارة التقنية الاستثنائية للتعامل مع هذا الإرث المعقد دون أن تتأثر به هو أمر شبه مستحيل، ولهذا نكتفي بإسناد المهمة إلى أفضل الكفاءات البشرية المتاحة.

مع خالص التقدير،
فاطمة عبدالله
مستشار أول - إدارة الاتصالات الداخلية
وزارة الاتصالات وتقنية المعلومات

---
للاطلاع على قوائم النقاش وإدارة اشتراككم، يرجى زيارة البوابة الداخلية:
http://portal.gov.sa/communications/forums/list
مسؤول القائمة: list.admin@gov.sa"
7,Phishing Email,Government,Openness,تقرير حصرى: السهم الذی يستعد للانطلاق بقوة في قطاع التكنولوجيا الحيوية,"**نشرة خاصة من: صندوق الاستثمارات السيادية للمشاريع الواعدة**

**الشركة: التقنيات الحيوية المتقدمة (رمز التداول: GENX)**
**فرصـة استثمارية واعدة تجمع بين الابتكار التكنولوجـي والأرباح القياسية!**

نلفت عنايتكم اليوم إلى شركة واعدة في قطاع التكنولوجيا الحيوية نجحت في تحقيق نمو هائل في الإيرادات والأرباح، مما يجعلها محط أنظار كبار المستثمرين.

**أداء مالـي استثنائـي:**
*   **الإيرادات (للربع المنتهي في 30 يونيو 2004):** 525,750 دولاراً أمريكياً، مقارنة بـ 98,763 دولاراً لنفس الفترة من العام السابق.
*   **صافي الدخل (للربع المنتهي في 30 يونيو 2004):** 151,904 دولاراً أمريكياً، مقارنة بخسارة قدرها (23,929) دولاراً لنفس الفترة من العام السابق.
(المصدر: تقرير 10-Q بتاريخ 16/08/2004)

**هل تذكرون قصص النجاح المماثلة؟**
لقد تمكن المستثمرون الأذكياء الذين استغلوا الفرص في الوقت المناسب من تحقيق ثروات طائلة. انظروا إلى أداء هذه الشركات الإقليمية المدرجة في الأسواق الأمريكية وكيف كان بإمكانها تغيير شكل محفظتكم الاستثمارية:
*   **(رمز التداول: AMAL):** أغلق عند 4.00 دولارات في 2 سبتمبر 2003. وأغلق عند 16.65 دولاراً في 31 ديسمبر 2003، **بزيادة قدرها 316%**.
*   **(رمز التداول: SAHL):** أغلق عند 1.50 دولار في 30 يناير 2004. وأغلق عند 7.90 دولارات في 17 فبراير، **بزيادة قدرها 426%**.

المستثمرون العاديون مثلكم تماماً يحققون ثروات هائلة من خلال أسهم صغيرة لم يسمع بها أحد من قبل. واليوم، شركة (GENX) قد خرجت بالفعل من مرحلة التأسيس وبدأت بتحقيق إيرادات قوية! هل بدأت الصورة تتضح لكم؟

**نبذة عن شركة التقنيات الحيوية المتقدمة (GENX):**
(منتجاتها موزعة على 400 مستشفـى في 22 مقاطعة)
هـي شركة تكنولوجيا طبية حيوية تمتلك تقنية فريدة وحصرية لجهاز يعالج إصابات العظام. يقع مقرها الرئيسي في إحدى العواصم التكنولوجية بالمنطقة، وتقوم بتصنيع وتوزيع الطعوم العظمية (RBX) المعتمدة من الهيئة العامة للغذاء والدواء، وتقدمها كبديل حديث للطرق التقليدية في علاج كسور العظام.

**أبرز الأخبار الصحفية الأخيرة:**
(منتج جديد قيد الاختبار وعملية استحواذ ضخمة قيد التنفيذ!)
*   GENX تتبنـى تقنية جديدة مملوكة لها، مما يقلل تكاليف التصنيع بشكل كبير ويدعم نمو الأرباح.
*   GENX توقع خطاب نوايا للاستحواذ علـى أحد أكبر منتجـي الفيتامينات في المنطقة.
*   GENX تتوقع نمواً قوياً في الأرباح لعامي 2004 و2005.
*   إيرادات الربع الثاني لشركة GENX ترتفع بنسبة 432%، وصافـي الدخل يحلق عالياً مع توقعات باستمرار الزخم الإيجابـي.

**هل يمكن أن يكون هذا السهم هو ""النجم الصاعد"" في محفظتك؟**
قد تتفق معنا بسهولة أن الشركة تحقق إنجازات ديناميكية. لقد شهدت بعض هذه الأسهم الصغيرة انفجاراً سعرياً مؤخراً.

**ننصحك باتباع ""استراتيجية الصقر الخليجـي"":** التركيز على الشركات الإقليمية الواعدة المدرجة في الأسواق الأمريكية.
**لذا، ننصحك بالنظر جدياً فـي إضافة سهم GENX إلى محفظتك الاستثمارية اليوم!**

---
**إخلاء مسؤولية:**
تحتوي المعلومات الواردة في هذه الرسالة على ""بيانات تطلعية"" ضمن المعنى المقصود في القوانين واللوائح المعمول بها. أي بيانات تعبر عن تنبؤات أو توقعات أو معتقدات أو خطط أو أهداف أو افتراضات لأحداث أو أداء مستقبلي ليست بيانات لحقائق تاريخية وقد تكون ""بيانات تطلعية"". تستند هذه البيانات إلى تقديرات وتوقعات وقت صدورها، وتنطوي على عدد من المخاطر والشكوك التي قد تؤدي إلى اختلاف النتائج الفعلية مادياً عن تلك المتوقعة حالياً. قد يتم تحديد البيانات التطلعية من خلال استخدام كلمات مثل ""نتوقع""، ""نعتقد""، ""نقدر""، ""نتنبأ""، ""قد""، ""يمكن""، أو ""ربما"". وكما هو الحال مع العديد من أسهم الشركات الصغيرة، هناك عوامل خطر إضافية جديرة بالملاحظة، بما في ذلك: تاريخ تشغيلي محدود، والاعتماد على عدد قليل من العملاء والموردين، والحاجة إلى زيادة رأس المال. تم تفصيل عوامل الخطر هذه وغيرها بالكامل في ملفات الشركة لدى هيئة الأوراق المالية والبورصات، ونحثكم على قراءتها قبل الاستثمار. لا يضمن ناشر هذه النشرة أن المعلومات الواردة في هذه الرسالة تشمل جميع الحقائق المادية أو أنها لا تغفل حقيقة مادية ضرورية. يجب فهم جميع المعلومات المقدمة على أنها معلومات عامة وليست نصيحة استثمارية. ينصح الناشر جميع القراء والمشتركين بطلب المشورة من ممثل أوراق مالية محترف ومسجل قبل اتخاذ قرار التداول في الأسهم المعروضة. لا يجوز تفسير أي من المواد الواردة في هذا التقرير على أنها أي نوع من أنواع المشورة الاستثمارية أو التحريض. يمكن أن تخسر كل أموالك عن طريق الاستثمار في هذا السهم. الناشر ليس مستشاراً استثمارياً مسجلاً. أي إشارة إلى الأداء السابق للشركات يتم اختيارها خصيصاً بناءً على الأداء الإيجابي لتلك الشركات، ولا يعد الأداء السابق مؤشراً على النتائج المستقبلية.
بموجب القوانين المنظمة، يفصح ناشر هذه الرسالة عن استلام مبلغ أربعة وعشرين ألف دولار من طرف ثالث (شركة DMI) مقابل نشر هذا التقرير. يرجى العلم بوجود تضارب مصالح متأصل ناتج عن هذا التعويض نظراً لأن هذا إعلان مدفوع وليس محايداً. استخدامك للمواد الواردة في هذه الرسالة يشكل قبولك لهذه الشروط."
8,Phishing Email,Corporate,Openness,فرصة استثنائية لتخفیض قسط تمویلک العقارﻱ,"عميلنا الکرـیم،

بعد المراجعة الدقیقة لملفکم لدینا، یسرنا إعلامکم بأن تمویلکم العقارﻱ الحالی مؤهل للحصول على نسبة فائدة مخفضة تصل إلى 3%. وبذلک، یمکن أن ینخفض قسطکم الشهرﻱ لیصل إلى 1,275 درهماً إماراتیاً* لتمویل بقیمة 750,000 درهم إماراتي*.

لاستکمال إجراءات الموافقة النهائیة وتفعیل العرض، نرجو منکم التکرم بتأکید بیاناتکم من خلال استمارتنا الإلكترونـیة السریعة التی لا تستغرق أکثر من 60 ثانیة. کما یمکنکم أیضاً التقدم بطلب للحصول على تمویل جدید بشروط میسرة.

**الرجاء الضغط هنا لإتمام الخطوات النهائیة**
http://portal.masraf-alittihad.com/offers/validation

نتطلع دوماً لخدمتکم بأفضل شکل ممکن.

مع خالص التقدیر،

نورة السالـم
مدیرة حسابات
مصرف الاتحاد العقارﻱ ش.م.ع

- - - - - - - - - - - - - - - - - - - - - - -
إذا کنت غیر مهتم بهذا العرض، یرجى الضغط هنا.
http://updates.masraf-alittihad.net/unsubscribe"
9,Safe Email,Corporate,Extraversion,بخصوص: اتفاقية كوستال - بمشاركة إكسون ضمن اتفاقية المشروع,"شكراً جزيلاً على المعلومات.

كما ذكر السيد غسان في اجتماع الموظفين اليوم، من المخطط أن تدخل هذه الاتفاقية المُعادة هيكلتها حيز التنفيذ بأثر رجعي اعتباراً من تاريخ 1 أبريل 2000. قد يترتب على ذلك بعض الآثار المحتملة، مثل عدم توجيه مسار الغاز بشكل صحيح من قبل الطرف المقابل، أو عدم تسجيله ضمن اتفاقيات النقل والتجميع المناسبة.

وفي حال تغيير أي من الأسعار، فيجب تحديثها في أنظمتنا كذلك. قد تكون هناك جوانب أخرى تتأثر بهذا التغيير، ولست بصدد حصرها جميعاً هنا، ولكن أردت لفت الانتباه إلى أن الاتفاقيات ذات الأثر الرجعي يمكن أن تؤثر على سير العمليات اليومية.

شكراً لكم على هذه المعلومات.

إلى: بدر / داني،
يرجى التنسيق مع ماجد و/أو براء لتحديد حجم التأثير المحتمل، إن وجد.
مع الشكر.

--- الرسالة الأصلية ---
**من:** سامي فان هوزر
**تاريخ:** 10 أبريل 2000 03:06 م
**إلى:** بلقيس فريد هيرود
**نسخة إلى:** مايكل سي بيلبيري، براء إم رايلي
**الموضوع:** اتفاقية كوستال - بمشاركة إكسون ضمن اتفاقية المشروع

السيدة بلقيس،

بناءً على طلبكم، تجدون طيه مسودات الوثائق التي سيتم استخدامها لوضع اللمسات الأخيرة على الترتيبات الجديدة المتعلقة بعمليات التجميع بين ""الشركة العربية للغاز"" وشركة ""كوستال""، واتفاقية تقاسم الإيرادات بين ""إكسون"" و""الشركة العربية للغاز"" (اتفاقية المعاملات)، بالإضافة إلى اتفاقية شراء الغاز المتبقي بين ""كوستال"" (بصفتها البائع) و""الشركة العربية للغاز"" (بصفتها المشتري)، والتي تمثل تعديلاً لاتفاقية الشراء عند رأس البئر.

لا تتوفر لدي نسخة من اتفاقية المعالجة بين ""إكسون"" و""كوستال""، حيث أن شركتنا ليست طرفاً فيها (كما أعتقد أنها لم تصل بعد إلى صيغتها النهائية).

الوثيقة الأخرى الوحيدة التي أعتزم إعدادها هي اتفاقية إنهاء بخصوص اتفاقية شراء السوائل الحالية المبرمة بين ""إكسون"" (بصفتها المشتري) و""الشركة العربية للغاز"" (بصفتها البائع)، وسيكون هذا الإنهاء سارياً اعتباراً من 1 أبريل 2000.

في حال احتجتم لأي مساعدة إضافية، يرجى عدم التردد في إعلامي.

مع خالص التقدير،
سامي"
